,site_ID,plot,horizon,top_depth.cm,bottom_depth.cm,thickness.cm,,,,,,,,,,,,,,,
50,BART,3,BE,14.0,26.0,12.0,,,,,,,,,,,,,,,
51,BART,3,Bgs,26.0,60.0,34.0,,,,,,,,,,,,,,,
52,BART,3,Bw,60.0,92.0,32.0,,,,,,,,,,,,,,,
53,BART,3,BC,92.0,140.0,48.0,,,,,,,,,,,,,,,
54,BART,4,E,0.0,1.0,1.0,,,,,,,,,,,,,,,
55,BART,4,Bhs,1.0,5.0,4.0,,,,,,,,,,,,,,,
56,BART,4,Bs,5.0,33.0,28.0,,,,,,,,,,,,,,,
57,BART,4,Bhs,33.0,63.0,30.0,,,,,,,,,,,,,,,
58,BART,4,BC,63.0,122.0,59.0,,,,,,,,,,,,,,,
59,BART,5,Oe,0.0,2.0,2.0,,,,,,,,,,,,,,,
60,BART,5,OA,2.0,10.0,8.0,,,,,,,,,,,,,,,
61,BART,5,EB,10.0,32.0,22.0,,,,,,,,,,,,,,,
62,BART,5,Bo,32.0,47.0,15.0,,,,,,,,,,,,,,,
63,BART,5,Bsg,47.0,94.0,47.0,,,,,,,,,,,,,,,
64,BART,5,BC,94.0,140.5,46.5,,,,,,,,,,,,,,,
65,BLAN,1,Oi,2.0,0.0,-2.0,,,,,,,,,,,,,,,
66,BLAN,1,Ap1,0.0,13.0,13.0,,,,,,,,,,,,,,,
67,BLAN,1,Ap2,13.0,23.0,10.0,,,,,,,,,,,,,,,
68,BLAN,1,Bt1,23.0,43.0,20.0,,,,,,,,,,,,,,,
69,BLAN,1,Bt2,43.0,89.0,46.0,,,,,,,,,,,,,,,
70,BLAN,1,C1,89.0,121.0,32.0,,,,,,,,,,,,,,,
71,BLAN,1,C2,121.0,182.0,61.0,,,,,,,,,,,,,,,
72,BLAN,2,Ap1,0.0,21.0,21.0,,,,,,,,,,,,,,,
73,BLAN,2,Ap2,21.0,43.0,22.0,,,,,,,,,,,,,,,
74,BLAN,2,Bt1,43.0,81.0,38.0,,,,,,,,,,,,,,,
75,BLAN,2,Bt2,81.0,146.0,65.0,,,,,,,,,,,,,,,
76,BLAN,2,Bt3,146.0,164.0,18.0,,,,,,,,,,,,,,,
77,BLAN,3,Ap1,0.0,16.0,16.0,,,,,,,,,,,,,,,
78,BLAN,3,Ap2,16.0,37.0,21.0,,,,,,,,,,,,,,,
79,BLAN,3,Bt1,37.0,90.0,53.0,,,,,,,,,,,,,,,
80,BLAN,3,Bt2,90.0,143.0,53.0,,,,,,,,,,,,,,,
81,BLAN,3,Bt3,143.0,174.5,31.5,,,,,,,,,,,,,,,
82,BLAN,4,Ap1,0.0,21.0,21.0,,,,,,,,,,,,,,,
83,BLAN,4,AB,21.0,45.0,24.0,,,,,,,,,,,,,,,
84,BLAN,4,Bt1,45.0,100.0,55.0,,,,,,,,,,,,,,,
85,BLAN,4,Bt2,100.0,130.0,30.0,,,,,,,,,,,,,,,
86,BLAN,4,Bt3,130.0,185.5,55.5,,,,,,,,,,,,,,,
87,BLAN,5,Ap1,0.0,10.5,10.5,,,,,,,,,,,,,,,
88,BLAN,5,Ap2,10.5,28.0,17.5,,,,,,,,,,,,,,,
89,BLAN,5,Bt1,28.0,45.0,17.0,,,,,,,,,,,,,,,
90,BLAN,5,Bt2,45.0,81.5,36.5,,,,,,,,,,,,,,,
91,BLAN,5,Bt3,81.5,109.5,28.0,,,,,,,,,,,,,,,
92,BLAN,5,Bt4,109.5,171.5,62.0,,,,,,,,,,,,,,,
954,BONA,1,Oe,0.0,5.0,5.0,,,,,,,,,,,,,,,
955,BONA,1,Oa,5.0,15.0,10.0,,,,,,,,,,,,,,,
956,BONA,1,Oa/Bjj,15.0,20.0,5.0,,,,,,,,,,,,,,,
957,BONA,1,Oa/Bgjj1,20.0,43.0,23.0,,,,,,,,,,,,,,,
958,BONA,1,Oa/Bgjj2,43.0,55.0,12.0,,,,,,,,,,,,,,,
959,BONA,1,Cfg1,55.0,105.0,50.0,,,,,,,,,,,,,,,
960,BONA,1,Cfg2,105.0,145.0,40.0,,,,,,,,,,,,,,,
961,BONA,1,Cfgjj,145.0,178.0,33.0,,,,,,,,,,,,,,,
962,BONA,2,Oe,0.0,17.0,17.0,,,,,,,,,,,,,,,
963,BONA,2,Oa,17.0,25.0,8.0,,,,,,,,,,,,,,,
964,BONA,2,Oa/Cg,25.0,27.0,2.0,,,,,,,,,,,,,,,
965,BONA,2,Cg,27.0,49.0,22.0,,,,,,,,,,,,,,,
966,BONA,2,Cgf1,49.0,70.0,21.0,,,,,,,,,,,,,,,
967,BONA,2,Cf1,70.0,90.0,20.0,,,,,,,,,,,,,,,
968,BONA,2,Cgf2,90.0,115.0,25.0,,,,,,,,,,,,,,,
969,BONA,2,Cgf3,115.0,144.0,29.0,,,,,,,,,,,,,,,
970,BONA,2,Cf2,144.0,180.0,36.0,,,,,,,,,,,,,,,
971,BONA,3,Oe,0.0,9.0,9.0,,,,,,,,,,,,,,,
972,BONA,3,Bjj/Oa,9.0,29.0,20.0,,,,,,,,,,,,,,,
973,BONA,3,Bfgjj,29.0,50.0,21.0,,,,,,,,,,,,,,,
974,BONA,3,Cg1,50.0,100.0,50.0,,,,,,,,,,,,,,,
975,BONA,3,Cg2,100.0,178.0,78.0,,,,,,,,,,,,,,,
976,BONA,4,Oe,0.0,3.0,3.0,,,,,,,,,,,,,,,
977,BONA,4,Oa,3.0,11.0,8.0,,,,,,,,,,,,,,,
978,BONA,4,Bjj/Oa,11.0,41.0,30.0,,,,,,,,,,,,,,,
979,BONA,4,Bfgjj,41.0,54.0,13.0,,,,,,,,,,,,,,,
980,BONA,4,Bfg1,54.0,70.0,16.0,,,,,,,,,,,,,,,
981,BONA,4,Bfg2,70.0,82.0,12.0,,,,,,,,,,,,,,,
982,BONA,4,BfgXYZ,82.0,93.0,11.0,,,,,,,,,,,,,,,
983,BONA,4,Bfg3,93.0,129.0,36.0,,,,,,,,,,,,,,,
984,BONA,4,Cg,129.0,173.0,44.0,,,,,,,,,,,,,,,
985,BONA,5,Oa,0.0,10.0,10.0,,,,,,,,,,,,,,,
986,BONA,5,Bg,10.0,25.0,15.0,,,,,,,,,,,,,,,
987,BONA,5,Bgjj,25.0,51.0,26.0,,,,,,,,,,,,,,,
988,BONA,5,Cfg,51.0,78.0,27.0,,,,,,,,,,,,,,,
989,BONA,5,Cfjj,78.0,108.0,30.0,,,,,,,,,,,,,,,
